category	gene_name	zf gene ID
hlhpas_transcription_factors	npas2	ENSDARG00000016536
hlhpas_transcription_factors	npas2	ENSDARG00000116993
hlhpas_transcription_factors	npas3	ENSDARG00000109820
hlhpas_transcription_factors	npas4a	ENSDARG00000055752
hlhpas_transcription_factors	npas4l	ENSDARG00000116511
hlhpas_transcription_factors	per1a	ENSDARG00000056885
hlhpas_transcription_factors	per1b	ENSDARG00000012499
hlhpas_transcription_factors	per2	ENSDARG00000034503
hlhpas_transcription_factors	per3	ENSDARG00000010519
hlhpas_transcription_factors	sim1a	ENSDARG00000023316
hlhpas_transcription_factors	sim1b	ENSDARG00000013789
ion_metal_transporters	slc22a13a	ENSDARG00000056551
ion_metal_transporters	slc22a13b	ENSDARG00000059166
ion_metal_transporters	slc22a15	ENSDARG00000055445
ion_metal_transporters	slc22a16	ENSDARG00000015869
ion_metal_transporters	slc22a18	ENSDARG00000052271
ion_metal_transporters	slc22a21	ENSDARG00000094112
ion_metal_transporters	slc22a23	ENSDARG00000078856
ion_metal_transporters	slc22a2	ENSDARG00000030530
ion_metal_transporters	slc22a31	ENSDARG00000078882
ion_metal_transporters	slc22a4	ENSDARG00000005335
ion_metal_transporters	slc22a5	ENSDARG00000101021
ion_metal_transporters	slc22a6l	ENSDARG00000055523
ion_metal_transporters	slc22a7a	ENSDARG00000056028
ion_metal_transporters	slc22a7b.1	ENSDARG00000056643
ion_metal_transporters	slc22a7b.1	ENSDARG00000110958
ion_metal_transporters	slc22a7b.2	ENSDARG00000091252
ion_metal_transporters	slc22a7b.3	ENSDARG00000062182
ion_metal_transporters	slc22a7	ENSDARG00000056652
ion_metal_transporters	slc30a10	ENSDARG00000103983
ion_metal_transporters	slc30a1a	ENSDARG00000005463
ion_metal_transporters	slc30a1b	ENSDARG00000053896
ion_metal_transporters	slc30a2	ENSDARG00000021305
ion_metal_transporters	slc30a4	ENSDARG00000007180
ion_metal_transporters	slc30a5	ENSDARG00000051921
ion_metal_transporters	slc30a6	ENSDARG00000077368
ion_metal_transporters	slc30a7	ENSDARG00000019998
ion_metal_transporters	slc30a7	ENSDARG00000112372
ion_metal_transporters	slc30a8	ENSDARG00000100917
ion_metal_transporters	slc30a9	ENSDARG00000057272
ion_metal_transporters	slc31a1	ENSDARG00000013961
ion_metal_transporters	slc31a1	ENSDARG00000110656
ion_metal_transporters	slc31a2	ENSDARG00000076092
ion_metal_transporters	slc39a10	ENSDARG00000005823
ion_metal_transporters	slc39a11	ENSDARG00000098194
ion_metal_transporters	slc39a13	ENSDARG00000000442
ion_metal_transporters	slc39a14	ENSDARG00000102387
ion_metal_transporters	slc39a1	ENSDARG00000058257
ion_metal_transporters	slc39a1	ENSDARG00000112079
ion_metal_transporters	slc39a3	ENSDARG00000101434
ion_metal_transporters	slc39a4	ENSDARG00000059361
ion_metal_transporters	slc39a5	ENSDARG00000079525
ion_metal_transporters	slc39a6	ENSDARG00000068143
ion_metal_transporters	slc39a7	ENSDARG00000104451
ion_metal_transporters	slc39a8	ENSDARG00000056757
ion_metal_transporters	slc39a9	ENSDARG00000070447
ion_metal_transporters	slc47a1	ENSDARG00000046012
ion_metal_transporters	slc47a2.1	ENSDARG00000060051
ion_metal_transporters	slc47a2.2	ENSDARG00000074136
ion_metal_transporters	slc47a3	ENSDARG00000074561
ion_metal_transporters	slc47a4	ENSDARG00000079340
ion_metal_transporters	slco1c1	ENSDARG00000016749
ion_metal_transporters	slco1d1	ENSDARG00000104108
ion_metal_transporters	slco1e1	ENSDARG00000100780
ion_metal_transporters	slco1f1	ENSDARG00000102283
ion_metal_transporters	slco1f2	ENSDARG00000101156
ion_metal_transporters	slco1f3	ENSDARG00000105691
ion_metal_transporters	slco1f4	ENSDARG00000101014
ion_metal_transporters	slco2a1	ENSDARG00000061896
ion_metal_transporters	slco2b1	ENSDARG00000054609
ion_metal_transporters	slco3a1	ENSDARG00000018726
ion_metal_transporters	slco3a1	ENSDARG00000068296
ion_metal_transporters	slco4a1	ENSDARG00000075948
ion_metal_transporters	slco5a1a	ENSDARG00000071685
ion_metal_transporters	slco5a1b	ENSDARG00000086104
metal_response	cp	ENSDARG00000010312
metal_response	tfa	ENSDARG00000016771
metal_response	fth1a	ENSDARG00000015551
metal_response	fth1b	ENSDARG00000007975
metal_response	fthl27	ENSDARG00000031776
metal_response	fthl27	ENSDARG00000116586
metal_response	fthl28	ENSDARG00000076221
metal_response	fthl29	ENSDARG00000113977
metal_response	fthl30	ENSDARG00000077360
metal_response	fthl31	ENSDARG00000094210
metal_response	fthl31	ENSDARG00000113150
metal_response	hmox1a	ENSDARG00000027529
metal_response	hmox2a	ENSDARG00000055101
metal_response	hmox2a	ENSDARG00000114695
metal_response	hmox2b	ENSDARG00000078452
metal_response	hmox2b	ENSDARG00000117010
metal_response	mt2	ENSDARG00000041623
metal_response	mt2	ENSDARG00000113583
metal_response	mtf1	ENSDARG00000102898
metal_response	mtf2	ENSDARG00000005590
nr_transcription_factors	ar	ENSDARG00000067976
nr_transcription_factors	ar	ENSDARG00000114287
nr_transcription_factors	pgr	ENSDARG00000035966
nr_transcription_factors	pparg	ENSDARG00000031848
nr_transcription_factors	thraa	ENSDARG00000000151
nr_transcription_factors	thrab	ENSDARG00000052654
nr_transcription_factors	thrb	ENSDARG00000021163
nr_transcription_factors	esrra	ENSDARG00000069266
nr_transcription_factors	esrrb	ENSDARG00000100847
nr_transcription_factors	esrrd	ENSDARG00000015064
nr_transcription_factors	esrrga	ENSDARG00000004861
nr_transcription_factors	esrrgb	ENSDARG00000011696
nr_transcription_factors	hnf4a	ENSDARG00000021494
nr_transcription_factors	hnf4a	ENSDARG00000112985
nr_transcription_factors	hnf4b	ENSDARG00000104742
nr_transcription_factors	hnf4g	ENSDARG00000071565
nr_transcription_factors	rxraa	ENSDARG00000057737
nr_transcription_factors	rxrab	ENSDARG00000035127
nr_transcription_factors	rxrba	ENSDARG00000078954
nr_transcription_factors	rxrbb	ENSDARG00000002006
nr_transcription_factors	rxrbb	ENSDARG00000117079
nr_transcription_factors	rxrgb	ENSDARG00000004697
nr_transcription_factors	vdra	ENSDARG00000099483
nr_transcription_factors	vdrb	ENSDARG00000070721
nr_transcription_factors	vdrb	ENSDARG00000114864
nr_transcription_factors	esr1	ENSDARG00000004111
nr_transcription_factors	esr1	ENSDARG00000112357
nr_transcription_factors	esr2a	ENSDARG00000016454
nr_transcription_factors	esr2b	ENSDARG00000034181
nr_transcription_factors	nr1h3	ENSDARG00000098439
nr_transcription_factors	nr1h4	ENSDARG00000057741
nr_transcription_factors	nr1h4	ENSDARG00000113600
nr_transcription_factors	nr1h5	ENSDARG00000031046
nr_transcription_factors	nr1i2	ENSDARG00000029766
nr_transcription_factors	nr3c1	ENSDARG00000025032
nr_transcription_factors	nr3c1	ENSDARG00000112480
nr_transcription_factors	nr3c1	ENSDARG00000116957
nr_transcription_factors	nr3c2	ENSDARG00000102082
nr_transcription_factors	nr3c2	ENSDARG00000115513
nr_transcription_factors	pparaa	ENSDARG00000031777
nr_transcription_factors	pparab	ENSDARG00000054323
nr_transcription_factors	pparda	ENSDARG00000044525
nr_transcription_factors	ppardb	ENSDARG00000009473
nr_transcription_factors	raraa	ENSDARG00000056783
nr_transcription_factors	rarab	ENSDARG00000034893
nr_transcription_factors	rarab	ENSDARG00000111757
nr_transcription_factors	rarga	ENSDARG00000034117
nr_transcription_factors	rargb	ENSDARG00000054003
oxidative_stress_transcription_factors	maff	ENSDARG00000028957
oxidative_stress_transcription_factors	maff	ENSDARG00000111050
oxidative_stress_transcription_factors	mafk	ENSDARG00000100947
oxidative_stress_transcription_factors	mafga	ENSDARG00000018109
oxidative_stress_transcription_factors	mafgb	ENSDARG00000100097
oxidative_stress_transcription_factors	bach1a	ENSDARG00000062553
