ID	3.3_con_rep1	3.3_con_rep2	3.3_con_rep3	3.3_bap_rep1	3.3_bap_rep2	3.3_bap_rep3
ccng1	652.8907459	653.0845384	672.5971314	700.9627276	799.7062635	786.7925425
srsf6a	652.6502114	664.1036805	634.1206968	662.8250822	704.1025278	696.2667665
whsc1	646.4306771	661.3175441	643.3611226	674.7631471	759.1200366	699.6407902
setb	643.9680622	645.9038308	601.7031886	656.7928597	671.073317	725.4421474
eif4g2b	643.3209099	734.2968693	682.9243348	820.3239332	801.5768121	713.1413954
ckap5	640.9442002	959.3032787	731.7054488	799.1552554	694.9087817	685.3553184
atxn2l	640.1996887	551.3115027	574.4943299	550.8085085	530.9037623	520.0146277
si:ch211-173p18.3	638.6705767	607.4595109	680.9478634	614.5186943	594.6006164	746.8184817
kpnb3	638.1207836	646.0783051	561.801555	692.1306983	553.5654578	584.5721496
bzw1b	636.3854992	628.9689198	547.4144204	676.9213314	565.7006415	505.9727352
arid2	632.0730597	611.7941066	577.1521489	647.4164236	628.3406356	626.733913
arid1ab	628.2760511	610.6927377	601.3709612	690.599554	768.0332004	730.2641144
atf7ip	627.5601747	604.7278978	575.5811076	534.7339236	624.4452183	480.2435496
ubr5	627.1592839	591.9312989	545.0646157	675.2978324	666.0883051	596.3451466
marcksb	627.1134678	638.4614118	624.6437702	722.9480156	658.0215646	693.5828841
zgc:77112	623.0243818	872.2842253	783.4935021	770.6419458	590.6724645	772.4800064
fam46c	622.646399	727.5741567	725.1172111	709.4690849	428.6708025	700.9624331
mepce	619.0269278	663.1495242	571.1101155	643.2118527	636.7627804	672.5448543
pcbp2	617.8643445	649.9276442	592.8118832	567.9670464	604.2760287	621.9750962
h3f3a	614.6973073	497.593049	508.1794939	532.5076884	673.2712115	591.0766177
zgc:55413	613.6893533	505.8805778	581.9553684	551.7417774	476.1107193	300.8884819
acin1a	611.7994395	618.8276016	595.1374748	599.2461374	674.2205149	717.9002122
SRSF7	611.3355516	548.4163199	539.3677609	575.0103102	688.6705023	596.2774857
si:ch211-288g17.3	610.5509511	600.6713705	620.7809232	655.1693606	708.8116337	641.2449211
ESPL1	605.7001725	660.5814807	627.0087787	705.264514	767.3177156	687.3310167
mapk6	600.39696	632.1094571	639.5039065	593.3791812	721.9615899	686.1356741
xpo6	596.7316727	659.6982046	658.4014499	674.1701325	719.9273684	618.1139141
nono	594.8703941	585.7320092	578.54863	580.4884043	659.8874367	630.0041899
atp1a1	593.5474544	629.9994086	598.2570335	672.8771661	679.2569668	558.8790498
lmnb1	590.9989344	642.0817534	647.2239696	680.0954179	657.8391861	652.6480384
eif3s10	590.1398827	552.2165881	546.9628165	570.0037114	619.6612904	573.8230877
hcfc1b	586.27415	512.9609627	545.6981001	549.6953909	570.8586791	604.6403731
si:ch211-198a12.6	584.5102306	532.5293451	587.5638169	562.6882441	654.1682346	628.2134314
cdt1	583.7943541	613.5879205	608.764428	608.4573071	703.1532244	708.5133898
atp2b1a	582.8551243	527.5404708	549.1115955	540.2411824	600.2309675	568.8793311
fth1a	579.7453571	381.7895539	477.7694274	325.6617575	497.692173	527.0468508
cx43.4	577.9127135	584.4507136	571.4423428	624.5124489	702.5359434	548.3329706
sox11b	574.9976647	482.6209737	545.4503373	523.0340368	590.125329	565.744376
igf2bp3	569.0284008	484.0473011	569.2293707	524.7207259	533.4383556	508.304781
cdc27	568.4528362	495.9720737	569.6235388	615.9137369	531.2451374	466.5399616
glulb	565.3963302	587.0133048	538.7658099	562.3917368	599.4546898	642.2553239
caprin1b	562.5104892	569.8984672	553.7723514	628.5711966	577.8732361	507.9394121
mia3	560.9120804	558.5249242	550.7130441	629.5919594	605.6695874	560.3630789
caprin2	559.5318706	531.669514	492.6357577	602.7945036	405.908565	366.9214625
siva1	555.3757785	940.0238694	766.0994283	840.841267	726.7501942	760.5716877
tkt	555.1151995	551.0061727	552.339832	566.9851697	503.673252	438.619916
TNRC6A	554.4439938	505.2628298	512.7355137	613.5319569	480.4971556	544.8146037
myh9a	554.077465	564.6369768	451.355662	510.3522732	387.9405434	386.4050958
atp2a2b	553.7481619	581.1193451	548.0495941	596.8789397	564.9711276	626.1024112
chtopa	553.6765742	556.7965383	578.8470716	567.4615257	638.960675	599.1553294
ddx19	553.0872648	604.4389247	643.879172	614.3048202	678.2188124	611.9973685
bsg	552.7402079	520.7648707	498.0336078	556.1310578	532.9660421	506.2704432
ddit4	551.2872651	558.8902298	564.0319831	659.126032	484.7433008	630.7078633
sumo3b	549.7489899	554.75737	539.4837589	556.5004768	585.6219834	597.8833044
llgl1	549.1694163	607.3722738	538.2466343	590.7397801	531.025348	512.8155078
tprb	547.3613988	528.7825097	516.5459928	581.1251659	528.1447032	480.599897
smad5	546.7331457	569.0370003	520.6132441	564.3554901	600.4320515	561.5088035
ewsr1b	545.9330822	492.0791161	478.9451744	485.1792886	563.6664199	519.0132464
smarca5	545.6387138	606.6144011	562.2182469	608.7586752	602.4990076	589.6692709
atp5a1	544.2653765	388.4937286	410.5260441	340.4584445	440.0937748	380.3282447
brd4	540.5955077	491.1156908	489.9052991	541.3056922	520.5175416	577.0257037
rac1	540.3234746	588.8452849	572.5966922	592.5188239	618.7026343	611.7402571
usp10	539.8424057	552.8545097	520.0214289	563.2034863	495.6953625	558.2340159
hyou1	534.9658555	651.2743676	643.3836465	741.6668624	537.8855847	540.4256665
usp7	532.979728	536.4386597	528.0742826	592.300089	528.5515475	471.8896836
mcm7	531.130476	463.5394837	468.4569252	423.2811999	475.7740205	369.9860503
lsm14b	530.7633746	500.0253296	513.599868	537.2275015	416.9766007	485.0068771
ctnnb1	528.9146953	472.5445381	510.444271	501.7389789	620.2318077	467.0406523
CCNO	523.9264685	555.5752182	562.0780357	561.108492	423.0750566	484.3663539
setx	518.6467367	498.4637847	583.1772894	559.4363852	580.8988484	657.5737521
ctnnd1	518.2177836	556.8783231	548.494441	571.5202734	599.192813	565.4602002
ADNP (2 of 2)	516.1480417	534.3438777	535.6107761	592.2855067	493.3150895	537.4530975
smarcc1a	515.7780768	539.0574098	505.764933	554.7700406	552.7096819	525.607929
anp32b	513.9179435	488.1011022	488.3359471	506.9059833	574.0526407	467.572918
rasal2	513.5502693	557.3417704	531.7197741	492.5035052	477.0085826	554.8058635
cldn7b	512.9981855	482.9213967	437.1413983	555.6449803	528.0464994	512.3057957
acin1b	512.7828498	405.6581824	488.132669	398.9953068	537.4413295	425.6754833
btg2	512.6843452	538.5192657	484.9911495	539.0891786	470.7282159	543.2087849
mknk2a	510.7789686	804.9480531	646.3905857	691.1002139	554.6363469	633.8473291
cldng	509.9342344	753.5817309	597.5081142	679.7016951	388.84963	533.0776925
tatdn2	509.8826913	464.759168	436.9521976	579.1857165	492.0945565	495.954411
zgc:112980	508.005377	613.4134462	555.5461077	579.6474902	485.8282189	551.0439174
gigfy2	507.7218899	369.4782117	427.6757337	373.896692	471.8365159	441.1571998
bcl9	506.6074135	458.1580422	440.3870908	519.3009611	518.3243234	518.9230319
RBM26	505.3898509	496.6252619	502.0957913	500.4265695	535.2060239	475.0787674
etv5a	500.3592441	527.8065441	509.5489464	479.0712379	403.3477841	506.4598937
sf1	498.590743	482.1384433	461.0617691	458.6545222	496.4295528	517.4615564
EIF1B	497.6555221	453.8992338	458.2997772	490.6466889	440.0549609	456.066054
CHD1	497.2122514	439.4571242	460.649582	521.0216757	484.4112784	487.4426696
smarce1	496.873785	502.4467057	485.6989628	515.5727462	537.5535624	508.8190038
tnpo3	496.2352233	556.2731154	533.5194329	549.6856694	576.676085	517.3623204
brd3a	495.7140653	446.5522304	468.2378804	469.9475621	533.5459121	511.507397
zc3h13	494.8424141	458.0179176	439.201208	497.6024588	503.8509541	465.642327
gspt1l	494.2674222	488.8835104	516.4812366	524.3318638	510.3885212	485.7060398
ddx3	492.1913806	446.9049956	476.4174309	530.3154786	549.4970148	439.7512062
thoc2	490.5946898	498.7145915	514.1956249	565.2644552	573.5101816	516.2526816
pak4	490.370191	454.709994	484.7884345	521.4299808	630.6834977	503.1219559
chd4a	489.7373562	505.3827809	486.9659315	523.5249751	541.7669729	510.4293333
baz2a	489.0083077	483.6421936	430.9208631	561.7938614	595.6808582	589.1144515
ahctf1	487.9430836	287.8651352	385.9659948	272.8756788	309.2989418	469.620788
supt16h	487.6802138	537.7090507	478.9693876	481.6761276	503.383317	458.1860956
uhrf1	486.1911908	491.883923	509.0432851	541.9959224	592.1174632	533.9392414
tbp	486.0840957	508.3112228	486.6708686	476.2981655	532.8958965	543.3350853
cnot1	486.0714963	444.6341036	434.9700953	518.9023775	438.2180823	455.0330976
chaf1a	485.7622377	458.6945507	476.3684415	523.7582923	512.1421605	452.1372109
hnrnpa0b	481.9016593	372.4917098	390.1199631	345.7600924	992.6580216	452.9671847
fbl	481.7865464	461.0984793	426.9853765	418.6897113	449.6405869	495.4041024
rimkla	481.1233585	515.6173338	470.3951059	489.6988377	488.4189287	502.6347974
thy1	481.0082456	367.4793906	282.2547448	328.9471557	352.9201337	177.4583071
cstf3	480.2116183	512.7325105	513.8966202	496.6789115	534.1257822	517.9171398
anp32e	479.9693657	546.2517482	539.9837892	505.0783317	644.2449746	563.3762444
ccnt2b	478.0261908	480.3767981	481.5827219	484.7787606	492.5060772	537.9086809
ENSDARG00000060312	477.9717841	528.0611675	514.3200694	575.7054012	475.867548	573.9899846
znf292b	477.4254273	454.3141555	446.3885812	496.256024	518.5628183	519.3605724
CCNJL	476.6837793	501.6828354	471.33942	524.263813	515.9300213	520.2491855
si:dkeyp-114g9.1	476.3693664	511.8377845	461.7521264	495.1866534	510.7673073	485.3451816
hn1l	474.9565127	503.865945	502.8784965	553.8902403	484.4299839	452.9265881
baz1b	474.5350046	391.7040556	435.2736048	456.4005805	521.518285	505.4494909
uba1	472.4601084	511.0461074	465.1402825	524.7255867	426.9363364	402.8615804
ctnna1	471.6863892	529.9204092	483.7968203	523.8117609	536.6463463	475.1960463
slc25a25a	471.2683174	435.1803231	460.2700544	477.185257	490.5747358	442.5825895
ZNF281 (1 of 2)	470.9229786	453.4221556	494.4140188	520.3897748	574.2350192	510.8894274
sart3	470.5117792	371.6171574	415.3365838	351.7150286	398.8449061	480.0044811
trim71	469.2638634	402.4582148	422.8950381	487.3510831	456.9838928	465.443855
h3f3d	468.64191	500.4309824	436.8834998	481.8827105	479.8377872	439.4652262
pcm1	465.351742	554.6319666	522.3824957	617.017133	513.4562208	603.1743869
GTSF1	465.1449969	439.5116474	427.5586094	520.4189395	424.5294081	463.1343629
npm1a	464.0929449	464.3496987	486.1353631	550.516862	518.4178508	493.77573
ppp1r3b	462.5953314	438.2559778	442.5443163	508.8940405	391.604948	461.1586645
gltscr1	461.7574697	429.973356	452.0781157	489.7328631	431.7932157	520.208589
CKAP2	461.1400978	524.1289531	552.7385049	638.8322939	442.4544071	591.3562827
prc1a	460.218049	485.204829	483.3716819	475.5641883	487.2217776	513.2440268
TMEM131	460.133862	495.0288221	510.3705053	532.6972587	478.3974649	515.2287466
FP360035.1	460.039939	498.8220023	489.8298441	508.5878117	559.2706309	533.8039196
ptp4a2	459.2364393	480.5005658	462.4261538	483.345804	485.514902	472.5617819
pds5a	458.4862008	461.0674011	483.7765488	497.2622045	482.0730927	495.3003556
tlk2	457.868829	471.1950885	424.3692267	418.7592204	373.8529747	451.3072372
nolc1	457.8453482	417.0186397	467.3504391	484.9347915	495.0266414	537.7508055
crebbpb	457.6597931	389.9713078	401.7501736	457.7406964	447.3061423	473.0399189
ggps1	457.0470028	387.9452251	387.6733056	423.551459	485.5616658	524.913277
fam171a1	456.7423258	462.4064912	496.5560407	477.3203866	514.8123685	465.9535671
plcd1b	456.4714382	466.0350113	479.8562658	503.9311887	523.2345133	506.0133318
apc	456.3895419	442.2846982	460.1377266	512.738914	519.1473648	516.9653764
