ID	96_con_rep1	96_con_rep2	96_bap_rep1	96_bap_rep2
rpl36	824.3553346	661.9039408	844.6147791	1044.016865
fth1a	823.7929822	736.7600768	767.8473028	977.9505832
rpl37	820.4872624	627.3110067	812.0558603	1026.1278
rps27.1	807.5227612	691.0969123	765.2655946	894.3627437
rps11	807.5075624	694.8197534	781.1200946	912.3761945
postnb	807.4163702	837.9586921	737.0776867	788.9337364
aldoaa	805.0909673	897.9726103	969.8851393	959.1512348
si:ch211-5k11.2	802.6819714	488.8164043	510.7596515	681.7576619
eno1a	798.6771108	732.7300706	802.8217803	879.6511934
apoa4	793.897116	601.094465	733.895284	1013.943561
rps25	791.7161008	643.9040656	743.4233209	885.6669849
rps21	789.9226528	620.8421096	768.390484	861.6207808
rps18	787.5668525	650.784564	772.7998371	908.6785181
matn1	787.2704776	879.6778567	766.1921978	805.6072036
rps13	780.9326147	665.4609127	754.4019711	801.1632073
rps28	780.7730282	627.0161282	761.8339677	905.6197369
rps26l	776.4033986	717.4393917	820.7467591	888.3073746
hnrnpa1	775.0127164	713.7779836	712.4428227	741.1240252
cd81	770.7190803	758.1879145	677.8325962	733.6382095
btf3	758.5912682	644.8439908	736.125522	832.1298331
apoeb	758.4392811	822.5697204	896.3128465	1161.121257
rpl27	756.4946059	618.3233557	704.1864688	790.5846867
opn1lw2	756.3555377	739.8071546	667.5696671	575.650182
rbp4	754.0012572	638.5102464	1068.552403	1024.697354
eef1b2	752.8887115	687.7918158	729.9204759	797.459877
pkmb	748.8032977	811.9848109	885.6920568	635.3840513
faua	746.1184453	609.1102456	670.8223638	793.2194225
zgc:66127	744.5241004	724.645485	690.9072866	661.0925136
slc1a2b	739.0274862	806.6769979	720.1240436	598.0284739
PTMS	733.7991294	705.1405009	648.1365617	738.2744398
ubc	731.561879	775.8867678	864.1501304	684.0701231
tuba1l2	728.8998246	732.7485005	737.4738894	567.2653899
rpl34	728.8519486	574.8693227	672.5222013	778.4061013
paics	725.8350043	499.809229	537.3831977	1059.932704
slc25a4	722.0900417	773.5277398	964.3766432	883.1735977
atp5g3b	716.9042412	708.5623202	734.7771546	753.6814245
rps15a	715.7309007	587.1614558	688.0507927	789.1938176
cfl1	710.8141174	681.8328127	772.7742756	813.0364799
marcksl1b	698.8876882	621.3335737	635.6216673	676.3016104
rps16	691.385604	585.0014708	675.6598714	815.9765284
ppiab	689.9706039	664.5148441	723.3447885	724.2130926
ldhba	686.4931386	701.2947938	704.7807729	666.8764935
rpl22	686.016659	570.86819	657.7476733	844.1840318
acta1a	685.4421477	711.5602516	431.0206547	447.6602605
khdrbs1a	679.0807268	708.2920149	651.4915042	706.1431024
col5a1	676.8107992	730.7642139	515.4591273	520.9992041
tfa	676.2013309	632.1334988	727.7541415	905.0260733
tuba8l4	674.0233554	762.469796	696.9014507	742.6110112
zgc:112425	665.7598158	663.7960778	656.1884238	746.9928143
calm2a	662.8849794	622.8693993	659.536976	705.2384721
histh1l	662.0984461	379.5596195	505.349567	720.9564235
col9a2	657.2188996	620.9096859	602.5566315	624.2570986
crygn2	653.0886497	562.0623808	666.9370208	651.0341554
hnrnpa0b	649.5937059	668.7291494	689.7186784	693.5065479
atp1a3a	637.98265	719.1779462	582.5797058	478.5974859
hnrnpa0l	633.5552652	614.8646766	612.7588521	642.2705494
ccni	632.7748113	566.8265116	576.8360442	594.8226903
apoc1l	631.0710357	471.4443746	614.9456356	1205.93438
rps29	621.0307667	557.0181155	669.7999051	735.9959022
CT956064.3	617.192332	713.501535	291.3988087	74.34647561
tpm3	611.9776539	613.3239365	606.7455169	685.5288395
wu:fa03e10	611.9198988	755.0302572	628.855547	900.8817357
IDH2	609.9341871	677.1147567	655.3193339	589.4797176
COL2A1 (2 of 2)	609.6302129	694.7398904	493.8072865	395.1871801
nnt	608.5138675	719.5465443	603.9267261	595.8912849
aldocb	608.0579061	597.0269847	579.0407207	588.7842831
si:ch211-212n6.17	607.0851886	526.5995551	614.2720909	646.7032379
hmgn2	603.8106261	548.781176	552.3571051	726.0506229
MDH2	598.5533916	603.4663939	587.6127587	617.4045241
ncl	598.4956365	685.0396164	595.2032364	615.6744187
ccng1	598.2380184	551.2274389	648.5647162	631.8899168
opn1mw1	597.192347	567.9753091	584.8776817	605.5990987
ywhaba	595.292508	596.8045971	596.8787906	596.5754115
h1f0	595.0858055	358.5317108	490.0823417	577.2106692
crybb1l1	589.6499862	598.4596027	616.5707058	507.7181006
ddx5	586.7105553	664.0418099	686.5426661	552.9383076
crygm2d13	586.4635763	529.0249308	567.8863355	589.536257
aldh9a1a	586.0000156	496.9587369	539.8581867	763.1574269
ywhabl	585.0379371	579.647583	613.942348	599.0574909
eif4a1b	584.5424591	555.8791472	531.3053198	587.0824473
gatm	578.6529582	709.5698217	608.2357504	683.4538437
si:ch211-212n6.16	576.6946042	516.0484338	520.8123375	584.0575898
calm1a	573.1897813	512.2930332	604.0200255	612.3159787
cryba4	568.9759384	560.979931	604.655867	565.9593299
glud1b	567.5214217	659.5879159	583.9625812	682.8319104
tpm2	566.0251085	568.1436355	541.9056602	566.326836
cryba2b	564.5052373	437.6125957	493.7766127	525.9537512
crygm2d8	560.8970631	509.6643143	516.7768209	557.9482632
rps27.2	554.396574	501.9692141	528.835443	585.1431461
si:ch211-212n6.8	551.8606689	520.791063	559.1117228	571.3814577
matn4	551.1607682	556.5573678	497.2606407	496.1642755
ptmaa	550.7868799	543.2448322	594.1545772	659.9164942
ywhaqb	549.4144362	525.3088474	542.7830576	571.5849996
atp1a1	545.7728249	670.0806758	575.2148081	552.3610403
pfn2	544.1032464	452.7060746	528.1976844	680.2367522
crygm2d3	539.1682246	482.1079184	551.6733359	570.9065268
ctnnb1	536.9963287	573.9773152	516.6260082	473.6627276
rtn1a	535.2781143	506.5797623	539.1335191	517.8635293
gngt2b	533.0819005	524.2270119	591.1383241	641.7956185
tnnt3a	532.3029665	426.3586805	502.6100167	463.7739877
si:ch1073-429i10.3	531.4138418	486.2982647	481.8758326	561.0630184
MYOM2 (2 of 3)	528.1917149	579.8841002	472.0813175	443.6476597
pvalb4	520.851497	444.1496834	567.5156942	672.4512777
eif1b	520.7306672	459.0865081	613.9027277	630.9570168
col9a3	519.0838868	503.4804664	471.9567053	470.2121284
ampd1	514.8662443	530.6049881	760.376964	584.3911722
crygm2d5	510.6326431	480.3054735	523.7225106	542.4242419
stx1b	496.5191192	479.8385826	434.3206401	370.3465975
col4a5	496.4712433	548.7277293	414.1334714	378.7619209
eif3s10	493.843386	559.8292905	475.7410805	451.8639644
vdac3	491.9032704	477.4359371	549.1171892	515.1541616
si:ch211-251b21.1	491.7345647	512.1535803	642.4874774	591.9052576
csde1	490.3879588	488.9103968	473.1766263	489.0425735
rplp2	485.6695187	419.7638457	509.6515619	604.9771654
gamt	484.7279585	359.8863089	374.5151144	616.7882447
h3f3d	484.6474054	407.2259805	464.8327244	439.8527356
arr3a	483.4588661	513.836845	431.1107588	490.3169714
tpi1b	482.799242	393.6099657	447.4176968	525.0762598
crygm2d4	480.0133181	406.8002497	449.895242	487.2972024
atp5f1	478.4113739	466.8928021	478.3687994	508.4141005
cryba2a	478.2419082	442.2262155	478.6915129	494.7027321
eif4a1a	477.9592122	529.7479975	480.4239413	440.6736876
atp5o	476.1118088	462.2718103	466.8258798	527.4401718
col11a2	474.3852351	549.6357093	414.0529528	385.9882207
crygm2d1	470.3104604	418.4178483	475.889337	463.108519
zgc:158409	467.7289592	404.8620379	476.2670077	531.3888831
hbae1	465.9248721	311.6491009	232.0783118	291.6878624
hbbe2	461.1798343	241.9840551	205.2451616	322.4215459
mdh1a	459.5406532	514.571584	510.1353127	551.9183369
zgc:86599	458.1484512	472.0046438	504.200579	526.6113043
ENSDARG00000002369	456.6179409	449.3696472	549.4571567	630.0636944
COL5A2 (1 of 2)	455.8785236	510.4217834	333.8052827	299.5485342
cox6a1	455.7288163	434.5814904	458.5446035	544.8978404
ldha	453.8973715	471.900822	511.8044765	563.5185243
apoea	453.3441384	536.5179164	288.5193094	798.0478867
spna2	449.1865307	520.9335876	418.1408704	347.2084161
mibp2	449.147774	433.5758318	460.4828017	494.7016014
fkbp1aa	448.6211386	403.926413	458.8462288	505.1557352
cct6a	448.3126048	462.0395934	440.5506087	433.2274495
fabp7a	441.4595056	416.7425698	457.9298502	423.0876746
ppib	441.4154293	436.6229097	462.5443341	469.8610188
si:ch211-212n6.18	438.5535119	388.2462487	449.9840681	463.1175653
gpm6ab	438.5276741	383.0735883	381.1157242	373.6518905
zgc:77702	436.68787	384.8072282	539.7278232	607.0182375
pgk1	434.386785	468.4519722	421.6785775	476.6892813
opn1sw2	433.5348972	454.7554801	435.4753794	454.1815142
slc43a2b	431.4009981	430.796602	364.0764502	684.3188965
stxbp1a	426.3839033	392.9231446	392.4113366	361.5157096
apoc2	425.6520853	391.7405589	396.0282842	717.8637187
atp1b1a	425.5525337	489.8325064	487.4999945	544.9854764
ran	425.5046578	437.406795	421.6312887	467.1691783
col10a1	423.70893	421.9054009	310.1289737	370.6298599
tkt	423.6412957	428.9763416	410.6999273	543.740479
tubb5	423.2765266	436.9736922	478.7899245	357.2057116
zgc:123103	422.4314783	339.226384	536.4968538	740.0610846
appb	420.5293595	458.3824857	436.3144345	366.7201608
atp5c1	413.9619961	402.8218472	399.2509462	457.4517527
stmn1b	413.4779171	342.1376948	385.6912269	384.1246823
eef2l2	413.0637522	444.4851077	418.533878	433.1375519
stau2	412.629829	386.1120655	389.1318003	384.3355743
eif2s3	411.9876834	386.1882425	407.7967837	411.9986034
RPL38	410.7565877	352.9013744	407.8408772	506.0009992
crygm2d7	410.4374148	355.084704	404.5146913	442.4563747
pkma	407.0458222	466.9081603	517.8293143	544.4557023
bsg	406.7395682	411.5023331	446.5204893	501.5010288
cct4	405.726574	424.4892737	442.6843521	377.3263856
glula	404.2127823	421.9717485	455.5928931	520.8544633
zgc:162402	403.7317431	379.4238526	414.8888127	426.188295
eif3c	403.2598231	442.0591177	391.6272386	359.4062248
sec61al1	396.1840628	371.7545542	360.5873099	391.690784
clstn1	395.9750805	425.5066045	375.9299416	309.8324845
krt17	395.4590842	357.512537	217.2219871	359.8839827
ppdpfb	394.6185954	286.1476395	357.3505892	698.436783
aco2	394.5509612	471.5309952	429.6543942	433.8250709
ndufv1	393.9422528	433.5512586	471.4064947	468.7398426
MYL4	392.1594439	411.783082	429.3962234	442.5134795
myl10	388.8651231	365.3427898	376.5319141	470.5654996
fn1b	388.8362455	492.806479	245.5031944	320.8163925
CABZ01074130.1	387.7153405	381.359607	418.1376752	370.7293692
gnb3b	386.8170966	412.7881262	384.8483375	392.1594956
prdx2	386.7129855	374.0232757	372.8350869	476.5484983
si:ch73-103b2.3	380.7208933	429.4039154	601.3923066	777.4505856
atp6v0ca	377.7966611	407.6922571	424.7510658	426.0039766
CPLX1 (1 of 2)	377.0846015	383.982797	383.5268096	308.2245042
ces2	376.347464	347.4823676	506.0339753	677.1610092
RPL29	375.473538	282.7209056	416.9567354	478.5268116
cox4i1	374.9499424	346.6653085	390.1076093	470.2273941
atp6v0cb	374.4521846	360.063236	369.909577	314.1571828
ATP5G2	374.3305949	386.7767708	376.6079595	433.3456168
gnat2	374.1778478	428.3988712	386.4644612	424.117257
ywhah	373.5645798	362.3804896	344.7315319	337.5062561
zgc:165347	372.0796657	319.0824964	311.1622961	347.024663
myl12.1	371.6655008	344.1078518	382.8091714	441.7049662
h3f3a	371.6335835	328.8306882	329.7608196	423.9940011
HNRNPAB (2 of 2)	371.1092279	389.1321129	384.4201829	407.5331221
eef1da	368.2739082	324.9671655	366.982789	396.9676056
hspa5	367.1271654	383.1669665	369.7715451	343.9540086
tnni2b.2	366.6879226	364.0711263	448.7123851	473.1125993
sncgb	365.3846331	395.4400554	415.8448116	362.8477777
eif3ea	364.4392732	349.3996922	340.2691387	363.4606648
gdi2	363.3244477	384.5670251	366.5028725	391.1513982
ldb3b	362.3106936	415.8597773	413.7513274	398.4003138
sncb	362.1944234	307.6897427	358.5219434	322.3486101
tnw	361.8045765	352.2305258	338.5194563	294.1772919
pfn2l	358.7321569	371.3085505	371.2253535	397.064288
ckmt2	358.5079759	349.8579826	390.8488919	415.1433244
crygm2d9	358.3939855	313.7912703	311.0153176	335.0722352
si:ch211-255g12.6	358.2214802	303.5909315	305.6672196	421.0409486
nsa2	357.4387465	292.4193367	340.1681709	387.831405
mdka	356.9782255	351.4951726	341.2385574	389.0718793
hnrnpm	352.8023794	353.0162542	338.4708895	298.7496326
myom1a	350.9747343	429.9611129	366.6786076	310.0331994
hmgb2a	350.7041973	324.6262122	322.6764589	445.3410146
rps26	350.3698256	290.8085628	339.2747977	415.9314836
capza1b	343.2287108	333.7391865	340.3515745	365.4621593
snap25a	342.0150937	325.4229985	348.933198	294.6041643
srsf5a	341.7734342	343.0462892	368.6072203	349.4094947
tgfbi	341.7453165	352.8006243	314.4092414	303.3722934
vcp	340.8425131	410.0525138	413.6241591	389.8509921
si:dkeyp-86f7.3	339.4518309	279.2087798	274.6400718	331.5605735
myhb	338.6994947	345.3297546	214.3035066	251.4024136
pcdh1g30	338.672137	273.6417195	288.965996	295.3408726
sfpq	338.1622202	325.8935754	285.9580504	253.3507611
basp1	338.1401821	338.7902095	336.7454905	334.4746138
arf2	337.9425988	352.790795	339.019822	345.1091084
krt15	337.3483292	292.4070501	154.1605695	136.0298232
tmem38a	336.2813796	317.8261911	360.6972243	352.0108722
hsp90b1	336.0716374	363.2946129	335.5402673	356.6442755
cyc1	335.9044516	342.5130506	347.2685075	392.748636
and1	335.7494247	397.1841389	347.6826032	305.3036791
