sample_SRR5892249	sample_SRR5892250	sample_SRR5892253
ENSGACG00000016380	10.2620227701474	13.9428441072131	14.7372646959492
ENSGACG00000016381	41.1486991469635	37.4713935381351	41.9369143025668
ENSGACG00000016387	4.32614685408174	5.2285665402049	6.82463935584224
ENSGACG00000016388	85.7180725506428	92.9159845582245	93.4678868300133
ENSGACG00000016398	78.2730756389672	74.180287789157	75.46666418127
ENSGACG00000016402	24.7495843280025	22.7660501438088	20.6717337010294
ENSGACG00000016407	0	0	0
ENSGACG00000016409	0.201216132747988	0	0
ENSGACG00000016411	42.6578201425734	50.7606668278225	37.9806016325133
ENSGACG00000016419	0	0	0
ENSGACG00000016422	0.100608066373994	0	0
ENSGACG00000016423	0	0	0
ENSGACG00000016424	0	0	0
ENSGACG00000016426	8.45107757541548	11.4374893066982	7.91262534010694
ENSGACG00000016428	0.201216132747988	0.217856939175204	0.0989078167513368
ENSGACG00000016431	2.61580972572384	3.48571102680326	3.36286576954545
ENSGACG00000016437	29.3775553812062	20.1517668737064	20.9684571512834
ENSGACG00000016443	29.9812037794502	33.3321116938062	34.4199202294652
ENSGACG00000016447	133.00386374642	135.289159227802	121.162075520388
ENSGACG00000016449	94.2697581924322	90.4106297577097	83.9727364218849
ENSGACG00000016452	53.2216671118427	56.4249472463778	43.6183471873395
ENSGACG00000016458	32.597013505174	27.3410458664881	29.078898124893
ENSGACG00000016464	24.5483681952545	22.5481932046336	24.0345994705748
ENSGACG00000016470	13.3808728277412	11.4374893066982	9.29733477462566
ENSGACG00000016472	5.13101138507369	5.01070960102969	5.73665337157753
ENSGACG00000016474	139.643996127103	141.824867403058	158.747045885896
ENSGACG00000016479	1.91155326110588	2.83214020927765	1.8792485182754
ENSGACG00000016483	15.694858354343	13.8339156376255	14.8361725127005
ENSGACG00000016488	40.8468749478415	34.6392533288574	46.8823051401336
ENSGACG00000016495	7.74682111079753	7.62499287113214	5.93446900508021
ENSGACG00000016496	5.03040331869969	5.01070960102969	4.45085175381015
ENSGACG00000016498	296.190147405038	234.631923491695	227.685794161577
ENSGACG00000016501	12.8778324958712	17.6464120731915	18.5946695492513
ENSGACG00000016511	0.804864530991951	0.653570817525612	0.197815633502674
ENSGACG00000016513	53.8253155100867	38.3428212948359	46.8823051401336
ENSGACG00000016524	73.0414561875195	63.9410116479224	55.6851008310026
ENSGACG00000016536	11.8717518321313	10.8928469587602	15.8252506802139
ENSGACG00000016544	7.24378077892756	9.47677685412138	7.81371752335561
ENSGACG00000016550	3.42067425671579	3.37678255721566	4.25303612030748
ENSGACG00000016556	68.8159173998118	63.7231547087472	61.7184776528342
ENSGACG00000016558	77.9712514398452	63.7231547087472	52.7178663284625
ENSGACG00000016571	0.503040331869969	0.435713878350408	0.395631267005347
ENSGACG00000016577	0	0	0
ENSGACG00000016581	4.02432265495975	6.75356511443132	4.05522048680481
ENSGACG00000016587	95.7788791880421	94.0052692541005	104.248838855909
ENSGACG00000016609	126.766163631232	126.574881660794	144.702135907206
ENSGACG00000016624	56.9441655676805	40.0856768082375	48.761553658409
ENSGACG00000016634	66.8037560723319	58.3856596989547	57.267625899024
ENSGACG00000016641	46.0784943992892	46.7303134530813	52.1244194279545
ENSGACG00000016642	16.197898686213	12.853559411337	16.0230663137166
ENSGACG00000016645	28.6732989165882	41.066033034526	17.7044991984893
ENSGACG00000016649	27.7678263192223	23.7464063700972	21.7597196852941
ENSGACG00000016652	0	0.108928469587602	0.395631267005347
ENSGACG00000016656	11.5699276330093	12.9624878809246	12.7591083609224
ENSGACG00000016658	1.50912099560991	2.06964092216444	2.76941886903743
ENSGACG00000016664	0.100608066373994	0.435713878350408	0
ENSGACG00000016665	35.7158635627678	35.5106810855583	37.1893390985026
ENSGACG00000016673	18.6124922791889	20.1517668737064	19.1881164497593
ENSGACG00000016676	27.2647859873523	25.7071188226741	28.782174674639
ENSGACG00000022533	0.100608066373994	0.108928469587602	0.0989078167513368
ENSGACG00000016683	6.5395243143096	4.35713878350408	4.74757520406417
ENSGACG00000016686	34.8103909654019	30.1731860757658	26.7051105228609
ENSGACG00000016689	0	0	0
ENSGACG00000016691	0	0	0
ENSGACG00000016692	44.0663330718093	44.333887122154	44.9041488051069
ENSGACG00000016693	2.71641779209783	2.61428327010245	2.17597196852941
ENSGACG00000016695	14.9906018897251	16.3392704381403	13.6492787116845
ENSGACG00000016697	2.21337746022786	2.39642633092724	2.07706415177807
ENSGACG00000016706	30.1824199121982	21.6767654479328	28.3865434076337
ENSGACG00000016709	1.10668873011393	1.41607010463883	1.97815633502674
ENSGACG00000016712	0.603648398243963	0.54464234793801	0.0989078167513368
ENSGACG00000016715	10.9662792347653	11.8732031850486	10.1875051253877
ENSGACG00000016720	1.30790486286192	1.63392704381403	2.67051105228609
ENSGACG00000016721	6.94195657980558	8.06070674948255	10.3853207588904
ENSGACG00000016725	8.24986144266749	9.47677685412138	10.3853207588904
ENSGACG00000016731	8.65229370816347	9.58570532370898	9.00061132437165
ENSGACG00000016734	29.1763392484582	19.716052995356	22.9466134863101
ENSGACG00000016736	34.3073506335319	34.8571102680326	31.4526857269251
ENSGACG00000016744	1.30790486286192	2.28749786133964	1.58252506802139
ENSGACG00000016745	32.99944577067	24.9446195355609	31.2548700934224
ENSGACG00000016749	108.455495551165	111.651681327292	110.183307860989
ENSGACG00000016750	2.01216132747988	2.61428327010245	2.76941886903743
ENSGACG00000016751	16.700939018083	19.8249814649436	14.4405412456952
ENSGACG00000016755	19.1155326110588	19.716052995356	23.3422447533155
ENSGACG00000016757	34.6091748326539	36.1642519030839	27.9909121406283
ENSGACG00000016763	6.64013238068359	6.53570817525612	8.30825660711229
ENSGACG00000016772	57.0447736340545	62.0892276649331	62.6086480035962
ENSGACG00000016791	7.64621304442353	4.90178113144209	4.35194393705882
ENSGACG00000016794	4.12493072133375	2.39642633092724	1.97815633502674
ENSGACG00000016796	36.2189038946378	24.9446195355609	28.3865434076337
ENSGACG00000016798	51.3101138507369	41.9374607912268	43.6183471873395
ENSGACG00000016803	46.6821427975331	56.2070903072026	50.4429865431818
ENSGACG00000016808	9.8595905046514	11.6553462458734	10.4842285756417
ENSGACG00000016810	2.31398552660186	1.74285551340163	0.791262534010694
ENSGACG00000016811	25.4538407926204	29.8464006670029	22.6498900360561
ENSGACG00000016814	2.81702585847183	3.81249643556607	3.7584970365508
ENSGACG00000021401	0	0	0
ENSGACG00000016819	0.402432265495975	0.217856939175204	0.791262534010694
ENSGACG00000016821	32.597013505174	29.5196152582401	34.1231967792112
ENSGACG00000016824	17.5058035490749	17.7553405427791	20.7706415177807
ENSGACG00000016828	0.201216132747988	0.653570817525612	0.0989078167513368
ENSGACG00000016829	11.8717518321313	11.4374893066982	10.9787676593984
ENSGACG00000016847	459.879471395526	556.733408062234	536.574905876002
ENSGACG00000016848	68.4134851343158	56.7517326551406	67.9496701081684
