category	geneName	Gene_ID	Gene_Name	cleavage_2-cell	blastula_1k-cell	gastrula_50%-epiboly	segmentation_1-4_somites	larval_protruding_mouth
Heat_response	dnajc5gb	ENSDARG00000017687	dnajc5gb	5	5	3	6	15
Heat_response	dnajc6	ENSDARG00000079891	dnajc6	3	16	6	0.6	23
Heat_response	dnajc7	ENSDARG00000058148	dnajc7	40	138	88	67	53
Heat_response	dnajc8	ENSDARG00000059373	dnajc8	125	163	199	150	77
Heat_response	dnajc9							
Heat_response	dnajc9	ENSDARG00000031293	dnajc9	178	44	38	85	26
Heat_response	hsbp1a	ENSDARG00000069425	hsbp1a	3	4	4	11	85
Heat_response	hsbp1b	ENSDARG00000041921	hsbp1b	92	49	87	74	100
Heat_response	hsbp1l1	ENSDARG00000075984	hsbp1l1	126	47	12		5
Heat_response	hsf1	ENSDARG00000008818	hsf1	17	44	44	22	8
Heat_response	hsf2	ENSDARG00000053097	hsf2	8	133	78	52	30
Heat_response	hsf2bp	ENSDARG00000035080	hsf2bp	0.6	2	0.8		
Heat_response	hsf4	ENSDARG00000013251	hsf4					5
Heat_response	hsf5	ENSDARG00000104686	hsf5		0.4	0.5		
Heat_response	hsp70.1	ENSDARG00000029688	hsp70.1		1			2
Heat_response	hsp70.2	ENSDARG00000092362	hsp70.2		0.4	0.7	0.8	5
Heat_response	hsp70.3	ENSDARG00000021924	hsp70.3	5	5	4	2	5
Heat_response	hsp70l	ENSDARG00000055723	hsp70l			0.9	1	7
Heat_response	hsp90aa1.1	ENSDARG00000010478	hsp90aa1.1	0.3	0.4	0.4	69	29
Heat_response	hsp90aa1.2	ENSDARG00000024746	hsp90aa1.2	1	1	6	11	36
Heat_response	hsp90ab1	ENSDARG00000029150	hsp90ab1	563	968	1383	2766	1551
Heat_response	hsp90b1							
Heat_response	hsp90b1	ENSDARG00000003570	hsp90b1	55	203	68	16	142
Heat_response	hspa12a	ENSDARG00000070603	hspa12a	32	34	21	5	3
Heat_response	hspa12b	ENSDARG00000030307	hspa12b				0.2	5
Heat_response	hspa13	ENSDARG00000040984	hspa13	0.3	2	0.4	7	10
Heat_response	hspa14							
Heat_response	hspa14							
Heat_response	hspa14	ENSDARG00000058030	hspa14	17	107	122	137	29
Heat_response	hspa4a	ENSDARG00000004754	hspa4a	21	33	21	36	27
Heat_response	hspa4b							
Heat_response	hspa4b							
Heat_response	hspa4b	ENSDARG00000018989	hspa4b	9	84	87	216	90
Heat_response	hspa4l	ENSDARG00000053544	hspa4l			0.7	1	27
Heat_response	hspa5	ENSDARG00000103846	hspa5	94	831	114	142	206
Heat_response	hspa8							
Heat_response	hspa8	ENSDARG00000068992	hspa8	2544	2332	4474	3761	3097
Heat_response	hspa9							
Heat_response	hspa9	ENSDARG00000003035	hspa9	36	196	174	125	94
Heat_response	hspb1	ENSDARG00000041065	hspb1	21	7	2589	1620	36
Heat_response	hspb11	ENSDARG00000002204	hspb11					36
Heat_response	hspb15	ENSDARG00000078411	hspb15					13
Heat_response	hspb2							
Heat_response	hspb2	ENSDARG00000052450	hspb2					16
Heat_response	hspb3							
Heat_response	hspb3	ENSDARG00000067714	hspb3					16
Heat_response	hspb6	ENSDARG00000077236	hspb6			0.4		34
Heat_response	hspb7	ENSDARG00000104441	hspb7				0.7	26
Heat_response	hspb8							
Heat_response	hspb8	ENSDARG00000058365	hspb8			0.2	15	23
Heat_response	hspb9	ENSDARG00000078674	hspb9				2	60
Heat_response	hspd1	ENSDARG00000056160	hspd1	88	205	190	118	147
Heat_response	hspe1	ENSDARG00000056167	hspe1	11	4	11	41	52
Heat_response	hspg2	ENSDARG00000076564	hspg2	1	2	2	8	12
Heat_response	hsph1	ENSDARG00000019874	hsph1	1	1	2	2	2
Heat_response	serpinh1b	ENSDARG00000019949	serpinh1b	0.2		28	194	29
Ion_transporters	SLC22A7	ENSDARG00000056652	zmp:0000001102					1
Ion_transporters	SLC39A11	ENSDARG00000098194	SLC39A11	73	12	5	14	8
Ion_transporters	SLCO3A1	ENSDARG00000068296	SLCO3A1			0.1	0.1	5
Ion_transporters	slc22a13a	ENSDARG00000056551	slc22a13a		0.4		0.5	
Ion_transporters	slc22a13b	ENSDARG00000059166	slc22a13b		0.5			1
Ion_transporters	slc22a15	ENSDARG00000055445	slc22a15	0.6	2	2	9	9
Ion_transporters	slc22a16	ENSDARG00000015869	slc22a16	0.4		6	1	9
Ion_transporters	slc22a18	ENSDARG00000052271	slc22a18			0.4	7	25
Ion_transporters	slc22a2	ENSDARG00000030530	slc22a2			3	2	9
Ion_transporters	slc22a21	ENSDARG00000094112	slc22a21					2
Ion_transporters	slc22a23	ENSDARG00000078856	slc22a23	5	16	6	5	9
Ion_transporters	slc22a31	ENSDARG00000078882	slc22a31	18	34	27	31	15
Ion_transporters	slc22a4	ENSDARG00000005335	slc22a4					
Ion_transporters	slc22a5	ENSDARG00000101021	slc22a5			71	18	7
Ion_transporters	slc22a6l	ENSDARG00000055523	slc22a6l					21
Ion_transporters	slc22a7a	ENSDARG00000056028	slc22a7a					25
Ion_transporters	slc22a7b.1							
Ion_transporters	slc22a7b.1	ENSDARG00000056643	slc22a7b.1					1
Ion_transporters	slc22a7b.2	ENSDARG00000091252	slc22a7b.2					2
Ion_transporters	slc22a7b.3	ENSDARG00000062182	slc22a7b.3					0.4
Ion_transporters	slc30a10	ENSDARG00000103983	slc30a10	0.9	3	1	0.7	6
Ion_transporters	slc30a1a	ENSDARG00000005463	slc30a1a	7	7	62	35	29
Ion_transporters	slc30a1b	ENSDARG00000053896	slc30a1b		5	4	20	5
Ion_transporters	slc30a2	ENSDARG00000021305	slc30a2					1
Ion_transporters	slc30a4	ENSDARG00000007180	slc30a4	105	57	6	8	20
Ion_transporters	slc30a5	ENSDARG00000051921	slc30a5	16	47	15	28	24
Ion_transporters	slc30a6	ENSDARG00000077368	slc30a6	22	23	27	22	13
Ion_transporters	slc30a7							
Ion_transporters	slc30a7	ENSDARG00000019998	slc30a7	42	119	121	93	40
Ion_transporters	slc30a8	ENSDARG00000100917	slc30a8			16	6	3
Ion_transporters	slc30a9	ENSDARG00000057272	slc30a9	32	87	6	14	30
Ion_transporters	slc31a1							
Ion_transporters	slc31a1	ENSDARG00000013961	slc31a1	24	51	38	54	28
Ion_transporters	slc31a2	ENSDARG00000076092	slc31a2	16	19	4	9	4
Ion_transporters	slc39a1							
Ion_transporters	slc39a1	ENSDARG00000058257	slc39a1	45	33	76	11	7
Ion_transporters	slc39a10	ENSDARG00000005823	slc39a10	11	25	21	24	15
Ion_transporters	slc39a13	ENSDARG00000000442	slc39a13	23	120	37	27	18
Ion_transporters	slc39a14	ENSDARG00000102387	slc39a14	8	21	4	7	2
Ion_transporters	slc39a3	ENSDARG00000101434	ENSDARG00000101434				1	3
Ion_transporters	slc39a4	ENSDARG00000059361	slc39a4	1			1	4
Ion_transporters	slc39a5	ENSDARG00000079525	slc39a5			71	14	4
Ion_transporters	slc39a6	ENSDARG00000068143	slc39a6	8	131	61	88	22
Ion_transporters	slc39a7	ENSDARG00000104451	slc39a7	14	72	66	201	61
Ion_transporters	slc39a8	ENSDARG00000056757	slc39a8					5
Ion_transporters	slc39a9	ENSDARG00000070447	slc39a9	19	49	24	41	23
Ion_transporters	slc47a1	ENSDARG00000046012	slc47a1			0.8	18	3
Ion_transporters	slc47a2.1	ENSDARG00000060051	slc47a2.1	0.2	0.1	0.3	0.5	3
Ion_transporters	slc47a2.2	ENSDARG00000074136	slc47a2.2			2	0.9	
Ion_transporters	slc47a3	ENSDARG00000074561	slc47a3	4	4	1		3
Ion_transporters	slc47a4	ENSDARG00000079340	slc47a4		1	19	8	5
Ion_transporters	slco1c1	ENSDARG00000016749	slco1c1	0.6	6	2	0.4	5
Ion_transporters	slco1d1	ENSDARG00000104108	slco1d1			32	7	35
Ion_transporters	slco1e1	ENSDARG00000100780	slco1e1			0.3		2
Ion_transporters	slco1f1							
Ion_transporters	slco1f2	ENSDARG00000101156	slco1f2			0.2		
Ion_transporters	slco1f3							
Ion_transporters	slco1f4							
Ion_transporters	slco2a1	ENSDARG00000061896	slco2a1			0.5	0.9	8
Ion_transporters	slco2b1	ENSDARG00000054609	slco2b1	0.2	0.3			8
Ion_transporters	slco3a1	ENSDARG00000018726	slco3a1			0.6	1	8
Ion_transporters	slco4a1	ENSDARG00000075948	slco4a1	0.2	1	0.7	0.3	5
Ion_transporters	slco5a1a	ENSDARG00000071685	slco5a1a		0.4	0.1	0.6	5
Ion_transporters	slco5a1b	ENSDARG00000086104	slco5a1a	16	19	1	4	26
Metal_response	HMOX1							
Metal_response	cp	ENSDARG00000010312	cp				1	49
Metal_response	fth1a	ENSDARG00000015551	fth1a	179	1483	2358	1865	1307
Metal_response	fth1b	ENSDARG00000007975	fth1b	1	2	2	5	30
Metal_response	fthl27							
Metal_response	fthl27	ENSDARG00000031776	fthl27	343	972	1026	549	144
Metal_response	fthl28	ENSDARG00000076221	fthl28	65	164	131	75	60
Metal_response	fthl29							
Metal_response	fthl30	ENSDARG00000077360	fthl30	19	53	52	27	10
Metal_response	fthl31	ENSDARG00000094210	fthl31	29	64	73	44	29
Metal_response	hmox1a	ENSDARG00000027529	hmox1a			6	13	18
Metal_response	hmox2a							
Metal_response	hmox2a	ENSDARG00000055101	ENSDARG00000055101	1	16	24	28	19
Metal_response	hmox2b							
Metal_response	hmox2b	ENSDARG00000078452	hmox2b	10	32	23	4	3
Metal_response	tfa	ENSDARG00000016771	tfa		0.5	35	315	858
Nuclear_receptors	ar							
Nuclear_receptors	ar	ENSDARG00000067976	ar	1	2	2	2	2
Nuclear_receptors	esr1							
Nuclear_receptors	esr1	ENSDARG00000004111	esr1					0.2
Nuclear_receptors	esr2a	ENSDARG00000016454	esr2a	0.5	2			0.6
Nuclear_receptors	esr2b	ENSDARG00000034181	esr2b			0.1	0.2	0.8
Nuclear_receptors	esrra	ENSDARG00000069266	esrra	6	13	6	13	17
Nuclear_receptors	esrrb	ENSDARG00000100847	esrrb	4	10	1		9
Nuclear_receptors	esrrd	ENSDARG00000015064	esrrd		0.9	1		3
Nuclear_receptors	esrrga	ENSDARG00000004861	esrrga	0.4	2	5	6	40
Nuclear_receptors	esrrgb	ENSDARG00000011696	esrrgb	4	9		0.4	1
Nuclear_receptors	hnf4a							
Nuclear_receptors	hnf4a	ENSDARG00000021494	hnf4a			84	4	10
Nuclear_receptors	hnf4b	ENSDARG00000104742	hnf4b	0.6	2	4	26	6
Nuclear_receptors	hnf4g	ENSDARG00000071565	hnf4g		0.4		0.2	5
Nuclear_receptors	nr1h3	ENSDARG00000098439	nr1h3	7	26	2	9	14
Nuclear_receptors	nr1h4	ENSDARG00000057741	nr1h4	2	0.9			7
Nuclear_receptors	nr1h5							
Nuclear_receptors	nr1h5	ENSDARG00000031046	nr1h5				0.4	2
Nuclear_receptors	nr1i2	ENSDARG00000029766	nr1i2		0.5	0.6	1	7
Nuclear_receptors	nr3c1							
Nuclear_receptors	nr3c1							
Nuclear_receptors	nr3c1	ENSDARG00000025032	nr3c1	7	32	3	14	29
Nuclear_receptors	nr3c2							
Nuclear_receptors	nr3c2	ENSDARG00000102082	nr3c2					2
Nuclear_receptors	pgr	ENSDARG00000035966	pgr					
Nuclear_receptors	pparaa	ENSDARG00000031777	pparaa	0.1	2	0.1	0.1	4
Nuclear_receptors	pparab	ENSDARG00000054323	pparab	3	6	3		1
