X3.3_con_rep1	X3.3_con_rep2	X3.3_con_rep3
ide	744.335189528065	824.44993742423	760.280868641789
ankhd1	729.579520684121	657.002112667905	618.685149478544
UBAP2 (2 of 2)	727.175315155475	660.811657535986	643.360751646364
cdca7a	726.041578388839	824.772027273161	784.300677724117
papolg	725.528833157488	728.300577864896	774.997308812686
chd8	723.090444679738	689.394350954853	640.409683057741
prmt1	716.94319876327	782.106234850747	724.845814604987
mylipa	710.904199150734	1107.07263358783	849.796617409167
slc25a5	707.520080524337	722.697325978755	691.622672734203
ccna2	704.403728829983	733.304076362159	684.675712676659
cdc25	700.609413919025	724.729823681912	704.199449280412
srsf1a	694.536231357386	733.52065404554	660.78372759504
CDC6	693.026481454252	809.811511238936	719.266016276504
hnrnpm	687.20967140881	609.666018098018	545.835991593151
cfl1	685.728407296596	526.911151739088	588.485324639014
rbm4.3	684.822557354716	732.654343515718	652.691908435529
nucks1a	684.389572536899	675.461190323989	687.876871868807
kpna4	682.560781079107	677.982376000046	695.485182508431
smc4	676.510387150204	842.742416956345	748.037546134915
CABZ01092303.1	673.240211886445	830.908393339336	688.699391924618
cldnd	672.972444954401	1166.53707506596	742.118736171809
smek1	666.494763266386	663.677146164541	674.705435587861
smarca4	660.461460812035	644.968171220653	613.511053632029
anln	660.051264626954	718.504605201473	706.277979751737
plk1	658.678246719194	861.834567707582	741.818627506799
ppm1g	656.843758202698	635.527608010584	636.319312962437
SPEN (2 of 2)	655.721415851909	563.729348237984	579.543197644654
ccne1	654.240151739695	730.538546648726	678.901399401425
ENSDARG00000002369	654.000870598571	571.970404568442	657.382495860856
hdac1	652.770282043328	639.709222185157	603.790867048058
cdh1	651.34029245425	735.96964716047	688.782755459126
ccng1	649.488712463201	665.176529687665	663.829274908744
srsf6a	649.249431322077	676.399693414937	625.854412261877
whsc1	643.062305298321	673.561971140377	634.974381515825
setb	640.612522404724	657.862869845447	593.859492928871
eif4g2b	639.968742236703	747.892523191743	674.021854723331
ckap5	637.604416914824	977.064971415445	722.16706680364
atxn2l	636.863784858717	561.51914580815	567.005324068056
si:ch211-173p18.3	635.342640639215	618.706745647599	672.071148252715
kpnb3	634.795712359281	658.040574572124	554.478009922501
bzw1b	633.069470047239	640.614405569831	540.278423448421
arid2	628.779501478961	623.121597256839	569.628496212629
arid1ab	625.002278042556	621.999836290636	593.531596386125
atf7ip	624.290131876848	615.92455618288	568.077934727391
ubr5	623.891330008135	602.891025686261	537.959250384254
marcksb	623.845752643184	650.282652964138	616.501025190263
zgc:77112	619.777973741477	888.434742779002	773.280020258432
