X3.3_bap_rep1	X3.3_bap_rep2	X3.3_bap_rep3
hsp90ab1	1060.36419580827	863.869812107853	715.052518255924
zgc:112425	985.30227909742	1114.58727393086	984.826592353385
hnrnpab	1058.74329819985	1310.05651449239	1087.9705614325
ctsl1a	1049.82588535245	1258.49930337601	1036.77662932123
mat2aa	1114.86500533891	1133.04701087627	1187.67890452126
phc2b	992.970560396776	695.884340820103	879.462952512916
chd7	1115.24668478562	1096.31466166246	1015.69859490735
p4hb	1030.40981681831	844.048752140524	811.762977774241
acp5a	708.535317663877	809.734974771656	778.268933704371
pou5f1	1122.71669142385	1108.84258155969	1073.59575863861
mid1ip1l	966.510776439269	767.201796283749	903.649410651922
rif1	1206.42339235426	1130.39921210229	1132.01467702865
gtf2a1	960.349384216515	983.549344035046	873.414127089789
ddx5	822.449198521623	1282.56806790198	847.052214094458
tpx2	1088.44983335352	879.68642849624	1121.47344885982
zgc:66127	789.991599130549	843.576265232148	826.292539274523
ctcf	772.260867153554	1242.26633668205	1000.91699865093
alyref	896.926203921582	870.938403465871	895.018338184261
cirbp	916.748735980138	1071.83890376502	807.602199511618
pabpc1a	962.138815103331	756.278460288101	791.476420176367
MKI67	990.814320958569	1027.76663471238	972.543232471019
bzw1a	965.648280623195	879.681750379314	770.097713471605
ctbp1	893.446479580492	878.507550233743	874.890960138295
ZFHX2	901.278337771012	848.609888232311	891.39258025376
gmnn	869.162762547699	864.407792253034	907.062929081854
tnpo2	969.346107315876	1032.62716758638	876.403166518583
rcc1	851.015653252054	934.293752740813	862.492636805104
hspa5	432.703718066973	357.290861942249	531.032039668211
sox19b	837.850200578958	567.377256374996	810.914019869991
g3bp1	835.47090189204	713.792062669337	721.388751276848
syncrip	778.105019490199	858.382414566977	868.492824007308
polr2a	855.511536404163	799.845496214118	805.316203324307
buc	865.222049119798	571.002774783844	698.798510874785
top1l	612.842899150687	840.909754890792	624.103476366887
hmgb2a	807.44970319355	895.367380394127	694.270735091373
ddx39ab	799.275820835268	865.221779596176	822.746371267015
