X96_con_rep1	X96_con_rep2
cirbp	1311.73944374593	1119.03033681433
rpl26	1302.16912004406	1070.60081461335
rpl7	1301.02193828505	1136.34399578066
rps5	1298.81400635439	1064.20177241074
ttna	1296.61393146479	1100.40359743187
actn3a	1292.65379769746	1274.66907420711
ckbb	1289.03153117066	1274.82355351647
rpl19	1283.60991952693	987.561800168565
rpl15	1275.68179391726	1083.35136707219
rps27a	1274.28317443718	1095.34734383725
ctsl1a	1271.91809444783	1061.05869561667
zgc:158463	1268.13082385525	1608.94032100973
rps12	1262.37134290307	1016.49711771167
crybb1l2	1257.78261586702	1051.39180356817
sepp1a	1256.04612811244	1233.04261865458
eif5a	1240.50417301049	969.529214951839
rpl18a	1237.73836531638	1024.88657782025
rpl9	1233.82537586326	1022.91992685464
zgc:165344	1229.23664882721	1093.10738176197
sparc	1220.49135269197	1111.80542003119
rps9	1209.97028152898	1042.06358026458
RPL31	1196.21981553687	902.562076106393
hmga1a	1192.88827400431	1170.05037233852
atp2a1l	1190.28747140995	1425.45356926103
rpl23a	1187.60023826217	940.023509022764
hbae3	1187.45094724452	695.879537603091
gapdhs	1184.19797922433	1062.9659311657
pabpc1a	1181.71503844945	1150.73441393037
rpl10a	1174.69837199378	996.432524861248
rps14	1174.35264564429	921.361120293638
RPL37A	1170.3767967609	859.71760461082
aldob	1160.50789102375	811.977301145384
serbp1	1146.85957173507	1119.77303000509
rpl17	1145.20165852681	937.819196294143
rpl13a	1136.3699308042	947.676217288817
rps10	1134.72773167805	962.518193378216
aldoab	1127.93893078634	851.643046790375
rpl5b	1123.33448863423	931.188433580026
rps7	1104.97958152396	877.298632371436
fetub	1091.07196747316	862.218994519026
naca	1089.83835412677	890.833468909344
vdac2	1084.54246030962	1016.19409937729
AK1	1081.95737283131	917.065384224604
zgc:136930	1079.88301680224	688.702152863061
RPS17	1064.29391738608	751.563684972509
ahcy	1058.21228224151	989.914650858325
rpl24	1057.63083432096	854.405864531507
rpl23	1049.89914404314	813.159668322069
rpl11	1041.1538479079	845.196471867637
rpl5a	1039.70022707255	874.696236255054
uba52	1027.91411305484	839.391583637328
rpl18	1014.83152698424	822.802793720361
krt8	1000.27174792119	851.821293040097
rps23	995.541587735704	794.61016898115
rpl14	994.551554138778	827.674859523594
rpl28	991.25144232135	820.81831812978
rpl32	985.012659531673	729.639388809599
slc25a3b	982.545433045688	1010.10995801207
hdlbp	981.351106869066	951.710525428211
hbbe1.1	979.64604913981	697.834305485385
smyhc1	976.730950324667	998.737843604612
rpl35a	972.59009582456	714.910302011691
neb	971.78864000146	966.041528838357
rps19	970.099297078073	757.85577971544
ENSDARG00000035423	963.475501286111	947.931703676801
col11a1a	960.505400598728	965.999938046756
pfn1	955.767382958612	687.828745852561
actc1a	952.679421175512	861.298055271982
gpm6aa	945.67061227787	757.796364298866
calm3a	925.846369216196	822.309645569365
rplp2l	916.975354323814	668.595969027609
tubb4b	907.467889328448	914.219384803553
rpl30	901.936273319864	700.472350851712
rps15	900.773376754981	697.626351430661
and2	897.732559492884	924.533904602562
rps24	895.273190461531	668.500904264375
rpl39	892.782391715045	653.27272787053
rpl35	883.612795407751	702.712312830277
actn3b	880.66626698087	926.708509622896
hnrnpab	875.111078711785	798.519704649022
cryba1b	870.836648206696	745.247824062949
cryba1l	869.948761003013	680.389933182889
eno3	857.298332352307	748.557263829993
rpl36	852.348164677863	640.165682525387
fth1a	851.766716343723	712.563392283293
rpl37	848.348743430578	606.708850040122
rps27.1	834.944003581171	668.399898056199
rps11	834.928288671906	672.000473557887
postnb	834.833999836691	810.438441275823
aldoaa	832.429632677578	868.48138155367
si:ch211-5k11.2	829.938833931091	472.762689265915
eno1a	825.797979327589	708.66573960202
apoa4	820.855669107777	581.353312361118
rps25	818.60059265612	622.756959472835
rps21	816.746244116012	600.452404547135
rps18	814.310447345161	629.411488450298
matn1	814.004008372222	850.787464501563
rps13	807.450929154974	643.605836305609
rps28	807.285923538254	606.423655943851
rps26l	802.767913387098	693.877237387538
hnrnpa1	801.330007461014	690.336077302424
cd81	796.890571339205	733.287496644546
btf3	784.350932240479	623.666015636564
apoeb	784.193784078392	795.554874394823
rpl27	782.183073080301	598.016371597161
opn1lw2	782.039282508372	715.51039791252
