X96_bap_rep1	X96_bap_rep2
smyhc1	1040.08389266795	932.991709377962
rpl35a	905.623738211842	1033.63274511029
neb	879.506564606632	807.779178920956
rps19	919.943648014414	1049.67730526441
ENSDARG00000035423	903.910830302946	884.011138352364
col11a1a	708.988142587217	645.953033448295
pfn1	793.169778827961	814.270090652595
actc1a	761.870280270467	734.650559837328
gpm6aa	754.00959039086	752.05826870185
calm3a	948.595925293602	1050.27477000729
rplp2l	803.459683565502	932.423247100617
tubb4b	907.137325870285	922.306937714653
rpl30	763.078658959884	1036.53306347998
rps15	808.41154452084	980.85855833427
and2	861.717237663203	916.361285774959
rps24	811.177112191761	1014.31662723045
rpl39	786.012938223347	1101.98164060818
rpl35	818.850939494957	1060.45488676673
actn3b	804.481199581036	747.504769374416
hnrnpab	830.050242643704	834.508510020223
cryba1b	830.803922030046	859.114808216512
cryba1l	783.882703741095	798.962212103055
eno3	830.442654258855	921.355633453548
rpl36	823.254669907752	1071.10485495842
fth1a	748.42862503514	1003.32442194307
rpl37	791.519158509515	1052.75164150515
rps27.1	745.912207628551	917.567818093635
rps11	761.365751050987	936.048644652346
postnb	718.43716529229	809.403357002791
aldoaa	945.35697214969	984.037306939143
si:ch211-5k11.2	497.842659994523	699.446499426227
eno1a	782.518606221758	902.474562918782
apoa4	715.335244808382	1040.25127107591
rps25	724.622319895248	908.64643973235
rps21	748.958069310295	883.976334470371
rps18	753.255910907047	932.255028594137
matn1	746.81537725147	826.509432838941
rps13	735.323322612799	821.950132915805
rps28	742.567365766068	929.116884466958
rps26l	799.990266522116	911.355336802372
hnrnpa1	694.425311211128	760.353178315802
cd81	660.690369202356	752.673136155186
btf3	717.509080613696	853.720216664463
apoeb	873.645305337559	1191.24762947975
rpl27	686.377758560168	811.097142746018
opn1lw2	650.686987166453	590.585962131848
rbp4	1041.52896394765	1051.28408125136
eef1b2	711.460958670743	818.150716261895
pkmb	863.293112912096	651.869682306887
faua	653.857423931628	813.800239220338
zgc:66127	673.434403756035	678.24517460609
slc1a2b	701.912275840442	613.544879658306
PTMS	631.745340433244	757.429657768499
ubc	842.295976766188	701.818959585884
tuba1l2	718.823348119155	581.983618791228
rpl34	655.514272940889	798.602572604695
paics	523.792902970392	1087.43364522527
slc25a4	939.987784620997	906.088359279108
atp5g3b	716.194813108238	773.236391036586
rps15a	670.650149915196	809.670186251764
cfl1	753.230995851372	834.131468632164
marcksl1b	619.546944770335	693.8488855883
rps16	658.572592101735	837.147799428854
ppiab	705.051568859127	743.003475818673
ldhba	686.957032849201	684.179225251787
rpl22	641.113389280478	866.087172777
acta1a	420.120243676744	459.275222908878
khdrbs1a	635.015437226175	724.464642892568
col5a1	502.423287156401	534.51701370838
tfa	709.349410358407	928.507817711919
tuba8l4	679.27697685519	761.878745552549
zgc:112425	639.593572833749	766.374238615184
calm2a	642.857440935865	723.536541116863
histh1l	492.569395259603	739.662309405616
col9a2	587.318115952039	640.454030455456
crygn2	650.070340342643	667.925842934249
hnrnpa0b	672.275855177968	711.500221216395
atp1a3a	567.846402006363	491.015143436774
hnrnpa0l	597.262324791634	658.934857014168
ccni	562.247996257877	610.255919016941
apoc1l	599.393805051037	1237.22347069487
rps29	652.860822971768	755.09200138824
CT956064.3	284.029401336615	76.2754641659156
